annual_income,is_bpl,rural,household_size,age,gender,education_level,employment_status,applied_other_scheme_before,benefited_other_scheme_before,state,avg_income_per_capita,literacy_rate,poverty_rate,sc_population,sc_literacy_rate,sc_population_share_among_sc,priority_score
36053.72857156405,0,0,2,38.837501135192305,Female,None,Casual Labor,1,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.5432874825826169
43219.873789897036,1,0,6,34.70617203732606,Female,Secondary,Self Employed,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.8723818208951597
38692.48216920295,1,0,4,26.357445144771624,Male,Graduate,Casual Labor,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.5760121747188444
20000.0,1,0,8,22.57767054895704,Male,Primary,Salaried,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.6471368818429513
40842.91604079403,1,0,3,33.610578653053345,Male,Primary,Unemployed,1,1,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.2999266252523539
47699.94241694044,0,0,5,46.09704354044862,Female,Primary,Casual Labor,1,0,Punjab                    ,149193.0,0.758,0.1378,8860179.0,0.6481           ,0.0512,0.6246182815632382
164953.39032485802,1,1,8,18.0,Female,Primary,Unemployed,0,1,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.44426346017858076
45958.70760816941,0,0,4,45.5488623723235,Male,Secondary,Salaried,0,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.18087917461888892
20000.0,0,1,4,34.221348514029295,Female,Secondary,Casual Labor,0,0,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.8943812503253409
21312.61835378807,0,1,6,45.68232926390793,Male,None,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8553080684527847
26212.818041423827,1,1,5,23.7563113233869,Male,Primary,Self Employed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.9290408967127529
47322.98922806527,0,1,6,45.591631460325,Female,Secondary,Salaried,0,1,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.19187507970764417
43954.99108305781,1,1,2,41.04515902703106,Female,Graduate,Casual Labor,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.8147516337672734
94231.33756151322,1,0,3,36.89367054362524,Male,Primary,Salaried,0,1,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.25726663160205787
93101.68173598086,0,1,2,35.69217766207904,Male,Secondary,Salaried,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.56973400036895
20000.0,1,0,5,33.33800909411181,Male,Primary,Self Employed,1,1,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.5886723731660284
60331.51705151677,0,1,4,47.104328619027626,Male,Secondary,Casual Labor,0,0,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.46490122810616397
104130.01441988142,0,1,2,37.66180541189898,Male,Graduate,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.37815801290526996
20528.389708794737,1,0,5,47.52222781427412,Male,Secondary,Unemployed,1,0,Delhi                     ,331112.0,0.862,0.0509,2812309.0,0.7889           ,0.0162,0.7080288884905487
52860.493718225414,1,1,2,39.84662525578567,Male,Graduate,Casual Labor,1,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.9468731792673624
55377.829413901694,1,1,2,43.45131525018623,Male,Primary,Unemployed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8956934081963268
28103.55884088362,1,1,3,47.85981931866997,Female,Secondary,Unemployed,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.9620813108041673
67590.96920087554,0,1,2,38.62693764034335,Female,None,Self Employed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.4909810612766114
51461.929540613724,1,1,4,32.039995179274285,Male,None,Self Employed,0,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,1.0
31838.914585958908,0,1,1,30.300469925736955,Male,None,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,1.0
49975.05513962094,0,1,7,18.0,Female,Primary,Self Employed,0,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.637117225737154
20000.0,0,0,5,54.751258000494744,Female,Primary,Salaried,0,0,Jammu & Kashmir           ,102803.0,0.677,0.1035,924991.0,0.7016           ,0.0053,0.8391729068365164
28721.702349508985,1,0,4,38.9999071055987,Male,Primary,Self Employed,0,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.8399283962483414
52198.558972758365,1,1,4,41.676138685090386,Male,Primary,Casual Labor,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.6135694368950746
41021.6982221882,0,1,5,25.24242211268615,Female,Secondary,Unemployed,0,1,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.1198358786219745
35227.6935669758,0,1,4,38.15162752494655,Female,None,Casual Labor,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.8580139579879208
29475.469128127337,0,1,5,22.12483337442965,Female,None,Casual Labor,1,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.6222548707032381
59107.3270570106,0,0,3,27.917832673920966,Male,Secondary,Unemployed,1,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.5964589278187877
43662.44591604561,0,1,2,22.587322508965066,Male,Secondary,Unemployed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.4721232019756847
295833.34938040125,1,0,4,48.21519777913114,Female,None,Casual Labor,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.5576788326279831
34652.46455309956,1,1,4,24.338730241392426,Female,Primary,Unemployed,0,0,Odisha                    ,102166.0,0.729,0.0819,7188463.0,0.6902           ,0.0415,0.7995653056387174
290030.3798424982,1,0,4,38.08443887782543,Male,Secondary,Salaried,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.5601407296780849
20000.0,1,0,4,32.98093329776934,Male,Graduate,Unemployed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.6344502882760463
85456.90725616232,0,0,4,37.349308365865056,Male,Graduate,Self Employed,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.7097464459979552
85933.34329375863,1,0,6,29.22548620153089,Male,Primary,Self Employed,1,0,Himachal Pradesh          ,183333.0,0.828,0.0806,1729252.0,0.7892           ,0.0099,0.550530441426008
70739.13866023673,0,1,4,37.31486215264671,Female,Secondary,Salaried,0,0,Tripura                   ,119789.0,0.872,0.0569,654918.0,0.8945           ,0.00378,0.6921970648101721
39077.64232595857,1,0,4,25.730532659610553,Male,Primary,Unemployed,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.728249229387695
20000.0,0,1,2,23.2538105211527,Female,Graduate,Casual Labor,1,0,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.7434672806330015
27357.296354339385,1,1,3,18.0,Male,Graduate,Casual Labor,1,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.8836180737197723
23555.515600412455,1,1,2,44.54219429560924,Female,None,Self Employed,1,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.9966439768850388
21358.359442027453,0,0,4,55.1956494181991,Female,Primary,Salaried,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8989691127263191
97116.62467879354,1,1,10,28.471998713227606,Female,Graduate,Casual Labor,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.8954202462066695
66492.0748287876,0,1,4,41.20137855194195,Female,Graduate,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.7567867783616751
139567.2856175326,0,1,4,35.227788747258806,Female,Secondary,Casual Labor,0,0,Punjab                    ,149193.0,0.758,0.1378,8860179.0,0.6481           ,0.0512,0.2945236213717685
173318.88101633225,1,0,5,41.898302898518565,Female,Primary,Self Employed,0,1,Himachal Pradesh          ,183333.0,0.828,0.0806,1729252.0,0.7892           ,0.0099,0.05697243253903771
20000.0,1,1,4,38.2908970818316,Female,Graduate,Unemployed,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.5933416383160585
145461.66232595668,0,0,6,43.692272653941714,Female,Secondary,Casual Labor,1,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.3887321399621972
46940.735962346924,0,1,2,35.15942714141016,Male,Primary,Self Employed,1,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.6745732496261665
42009.634477426305,0,1,10,27.75866497128765,Male,Primary,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7095395691411857
231744.476324656,1,1,5,19.770060483353507,Male,Secondary,Casual Labor,0,0,Delhi                     ,331112.0,0.862,0.0509,2812309.0,0.7889           ,0.0162,0.4197966940848524
43401.305357067846,1,1,5,41.76730654444518,Female,None,Salaried,1,0,Odisha                    ,102166.0,0.729,0.0819,7188463.0,0.6902           ,0.0415,0.6698586967291271
20000.0,1,1,3,46.897708714065075,Male,Graduate,Salaried,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.8671974777053324
102188.73245283165,1,0,2,29.730280046904998,Male,Graduate,Casual Labor,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.6954189079182168
85483.29151504886,1,1,5,40.62810169281275,Male,Secondary,Salaried,0,0,Chhattisgarh              ,104788.0,0.703,0.3993,3274269.0,0.7076           ,0.0189,0.8310560895013968
60286.47755309173,0,1,6,21.61491399675706,Male,None,Salaried,0,0,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.7223087546022825
78413.18021362669,1,1,5,34.108169952444996,Female,Primary,Salaried,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.7531016013399401
40801.45401961689,1,1,5,23.972565142575153,Male,None,Casual Labor,0,0,Chhattisgarh              ,104788.0,0.703,0.3993,3274269.0,0.7076           ,0.0189,1.0
97700.5802712671,0,1,3,33.07730323960963,Female,Primary,Self Employed,0,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.6520895043734333
20000.0,0,0,3,18.0,Female,None,Self Employed,1,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.869010143714886
60468.39204220573,0,0,3,31.737606812425728,Female,None,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.5662125004073929
30121.77424267988,0,1,2,18.0,Female,Primary,Casual Labor,1,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,1.0
46923.92655104802,0,1,3,25.612572360072853,Male,Graduate,Self Employed,0,0,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.5284717834464878
207985.0876779988,0,1,3,43.310427442035625,Female,Primary,Casual Labor,0,0,Odisha                    ,102166.0,0.729,0.0819,7188463.0,0.6902           ,0.0415,0.5487993299708575
49251.699330283416,0,0,5,34.6303307614358,Male,None,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.748349098158505
99852.67809906395,0,1,5,36.46966002268086,Female,Primary,Casual Labor,1,0,Punjab                    ,149193.0,0.758,0.1378,8860179.0,0.6481           ,0.0512,0.24778417608802722
28989.95180045134,1,1,1,30.080624681963222,Female,Primary,Self Employed,1,0,Kerala                    ,194322.0,0.941,0.0705,3039573.0,0.8873           ,0.0175,0.5675729378020631
111806.33288565555,0,1,3,27.65076102048062,Female,Secondary,Casual Labor,1,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.8085868353632152
20000.0,1,0,9,27.849060010521992,Female,Primary,Salaried,0,0,Gujarat                   ,212821.0,0.78,0.1663,4074447.0,0.7918           ,0.0235,0.7609171164863814
177525.61763264766,1,1,7,41.63049675436175,Male,Primary,Salaried,1,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.6000171558328983
20000.0,1,0,3,36.82067418225581,Female,Primary,Salaried,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.9339132592557455
55796.04449964621,1,0,5,54.40155712055116,Female,Primary,Unemployed,0,0,Haryana                   ,229065.0,0.758,0.1168,5113615.0,0.6685           ,0.0295,0.9863773520166481
23387.24562617811,0,1,4,27.02214003175584,Male,Graduate,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7506038629659322
20000.0,0,1,2,46.91110352081216,Male,Secondary,Unemployed,1,0,Kerala                    ,194322.0,0.941,0.0705,3039573.0,0.8873           ,0.0175,0.2793733330817466
24831.157015942204,0,0,8,28.11750171510895,Female,None,Self Employed,1,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.7722656085011488
138045.28000299082,0,1,4,33.27586796164097,Male,Graduate,Self Employed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.38415439044864563
300000.0,1,1,1,45.932798750578094,Female,Secondary,Self Employed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.5916736862100123
58737.74805923429,1,0,7,21.887342949408993,Male,None,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8296340390099514
66310.92974719791,0,1,5,35.47503569413098,Female,Graduate,Unemployed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.714925552831749
34994.73476439187,0,1,9,49.230429388007124,Female,None,Casual Labor,0,0,Chhattisgarh              ,104788.0,0.703,0.3993,3274269.0,0.7076           ,0.0189,0.9085267761739036
128935.51123909747,0,1,4,40.786657184575525,Male,Secondary,Salaried,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.4135240503908504
38251.53591444747,0,1,6,40.10667678880772,Female,Graduate,Self Employed,1,0,Madhya Pradesh            ,103654.0,0.697,0.3165,11342320.0,0.6616           ,0.0654,0.9061459748284985
79871.46930048557,0,1,2,55.34179521333298,Female,Graduate,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7311799541627945
61811.44445421725,1,1,3,20.78923877665547,Female,None,Casual Labor,1,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,1.0
51331.61038915244,1,1,3,43.51219727386801,Male,Primary,Casual Labor,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,1.0
100972.83943846672,1,0,6,32.99295595973355,Male,Secondary,Self Employed,1,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.5647670062192288
94732.19700269264,1,1,6,52.72201107521832,Male,Primary,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.6556796307038435
57748.77497365124,1,0,2,46.77703440825582,Female,Secondary,Self Employed,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.7919299746648775
46734.402781476754,0,1,6,59.69170131371908,Male,None,Salaried,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.8816947642366679
161758.84995705652,0,1,3,31.493040465500385,Female,Graduate,Self Employed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.46482109804416244
240556.3569284059,0,1,3,27.083303972943344,Male,Graduate,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.5480784235345582
133741.70734473187,1,0,2,51.81904213633881,Male,Primary,Self Employed,1,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7276470264736118
42360.996258035775,1,0,3,34.76046537581171,Female,None,Unemployed,0,0,Odisha                    ,102166.0,0.729,0.0819,7188463.0,0.6902           ,0.0415,0.7626028645514933
185397.7055778001,1,1,3,48.88233038337426,Male,Primary,Salaried,1,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,1.0
63089.84724316949,0,1,4,39.62987744490694,Male,Graduate,Self Employed,0,1,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.0878527246522599
95185.96950571028,1,1,5,38.04530863909264,Male,Graduate,Casual Labor,0,1,Delhi                     ,331112.0,0.862,0.0509,2812309.0,0.7889           ,0.0162,0.18866803001322516
20000.0,1,1,7,20.64967219221657,Male,Graduate,Casual Labor,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.7752528583086767
24857.086725155797,1,0,4,34.90518619010129,Female,Secondary,Unemployed,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,1.0
100941.60480662355,0,1,3,32.817019516757796,Female,Graduate,Unemployed,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.6929823688084811
114172.4757326663,1,1,10,48.79828882285102,Female,None,Self Employed,0,0,Rajasthan                 ,115122.0,0.661,0.2105,12221593.0,0.5975           ,0.0705,0.6872455984665768
35482.890059573096,1,0,5,41.68922634647591,Female,Primary,Casual Labor,0,1,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.5806655298395911
104399.95962788207,0,1,3,24.130882383138253,Male,Primary,Casual Labor,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.6244813867450603
64992.78453722857,0,0,2,47.10255025062835,Female,Graduate,Self Employed,0,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.780272030725832
97427.33993810946,0,0,3,41.99689183173934,Female,Secondary,Casual Labor,1,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.8030045628355289
116172.9833224945,1,1,4,20.741945326676557,Male,Graduate,Casual Labor,0,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,0.765150459375462
36190.19671381568,0,0,7,30.694711025999236,Female,Primary,Salaried,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.8513953987824872
55678.81640533032,1,1,5,45.40575849027498,Male,Primary,Salaried,1,1,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.4647321198078862
120572.82993176967,0,1,7,35.03927507814187,Female,Primary,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.5805779220940994
24129.93801395682,1,1,4,43.475158396344455,Male,Graduate,Unemployed,1,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8028507449211633
114417.8199446089,1,1,5,23.876133347042586,Male,None,Self Employed,0,0,Andhra Pradesh            ,163746.0,0.67,0.092,13878078.0,0.6228           ,0.0801,0.5671192721761473
49866.12455886229,1,1,5,45.544521192921444,Female,Primary,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.9126623402741949
25490.290611811342,1,1,2,29.010466175469087,Male,None,Salaried,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.705527252907415
88983.41633241279,1,1,2,33.45908967314809,Male,None,Casual Labor,0,1,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.4674923622911502
50860.296100589265,0,1,7,42.640137384543216,Female,Graduate,Self Employed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7647998865688399
20000.0,1,1,2,21.980240487365894,Female,Secondary,Casual Labor,0,0,Karnataka                 ,221310.0,0.754,0.2091,10474992.0,0.6533           ,0.0604,0.8819504158567343
64953.94295287377,1,1,5,43.51219458554513,Female,Graduate,Self Employed,0,0,Jharkhand                 ,71071.0,0.664,0.3696,3985644.0,0.5589           ,0.023,0.836639728858426
47045.44033656351,1,1,4,38.96547097204967,Male,None,Unemployed,1,0,Tamil Nadu                ,212174.0,0.808,0.2043,14438445.0,0.7326           ,0.0833,1.0
196681.4963435183,1,0,4,32.29165245885989,Male,None,Casual Labor,0,0,Himachal Pradesh          ,183333.0,0.828,0.0806,1729252.0,0.7892           ,0.0099,0.6262767953802697
56319.102845447,0,1,8,27.46373053319861,Female,Secondary,Casual Labor,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.761754479714274
40642.72628711792,0,1,2,43.415853767116445,Female,Secondary,Self Employed,0,0,Assam                     ,90482.0,0.722,0.3198,2231321.0,0.7699           ,0.0129,0.7974506230136136
34909.33200560492,1,0,6,30.92047181418207,Male,None,Unemployed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.8372892118963767
26225.926612486728,0,1,3,21.72228594088292,Male,Secondary,Self Employed,1,0,Maharashtra               ,183704.0,0.823,0.1735,13275898.0,0.7966           ,0.0766,0.7701605733960251
123674.59774977711,0,1,10,42.93933946840024,Male,Secondary,Salaried,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.5584202851768616
21211.38162593114,0,0,4,21.925688859349833,Female,Primary,Unemployed,0,0,Uttar Pradesh             ,61374.0,0.677,0.2981,41357608.0,0.6089           ,0.2387,0.7966736890960521
35523.58045981514,1,0,3,42.19545269230668,Female,Primary,Casual Labor,0,0,Kerala                    ,194322.0,0.941,0.0705,3039573.0,0.8873           ,0.0175,0.6248351917626789
94074.88441661674,0,0,4,21.91855998170823,Male,Primary,Self Employed,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,0.24513540819572482
31540.329218283212,0,0,3,60.17085274209577,Female,Secondary,Casual Labor,1,1,Odisha                    ,102166.0,0.729,0.0819,7188463.0,0.6902           ,0.0415,0.3733873588957486
20000.0,0,1,6,50.31752355553215,Female,Secondary,Unemployed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.710497764853946
41476.03954948913,1,1,3,48.30403968019624,Female,Secondary,Casual Labor,1,1,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.4961598261509789
97708.90901307373,1,1,3,35.39091177878122,Male,Secondary,Casual Labor,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.4427630016928218
120714.64177919287,0,1,6,51.4541168104729,Male,Secondary,Unemployed,0,0,West Bengal               ,106510.0,0.763,0.0986,21463270.0,0.6943           ,0.1239,0.5932735156208875
134477.14073397874,1,1,5,33.573226060985945,Female,Primary,Casual Labor,0,0,Bihar                     ,43605.0,0.618,0.3374,16567325.0,0.4865           ,0.0956,1.0
